substituent,rotamer,R_group,energy
H,E,1nap,-1685.90373668
H,E,2nap,-1685.90572749
H,E,4pyr,-1915.88136804
H,E,9phen,-1839.61565683
H,E,Ph,-1532.19417609
H,Z,1nap,-1685.90437392
H,Z,2nap,-1685.90642982
H,Z,4pyr,-1915.88376763
H,Z,9phen,-1839.61768602
H,Z,Ph,-1532.19482994
Me,E,1nap,-1725.22032618
Me,E,2nap,-1725.23425225
Me,E,4pyr,-1955.20902971
Me,E,9phen,-1878.94314678
Me,E,Ph,-1571.52171072
Me,Z,1nap,-1725.22886179
Me,Z,2nap,-1725.23901601
Me,Z,4pyr,-1955.21621966
Me,Z,9phen,-1878.94872738
Me,Z,Ph,-1571.52711110
